recipe_id,recipe,prep_time,cook_time,total_time,servings,calories,fat,carbs,protein
159,Tyrolean Nut Cake (Tiroler Nusskuchen),20 mins,1 hr,1 hr 20 mins,12,432,30g,36g,8g
160,Viennese Chocolate-Nut Cake,20 mins,1 hr,1 hr 30 mins,10,512,33g,51g,6g
161,Austrian Jam Cookies,N/A,N/A,N/A,36,88,4g,13g,1g
162,Chocolate Black Tea Cake,20 mins,1 hr,1 hr 20 mins,12,421,24g,49g,7g
163,Austrian Peach Cookies II,1 hr,20 mins,1 hr 20 mins,6,937,31g,156g,12g
164,Linzer Cookie Bars,20 mins,35 mins,2 hrs,16,228,13g,25g,5g
165,Linzer Cookies,20 mins,10 mins,2 hrs,32,82,3g,13g,1g
166,Linzer Tart Cookies,45 mins,10 mins,2 hrs 15 mins,12,442,30g,40g,7g
167,Kaiserschmarren – Austrian Torn Pancakes,N/A,N/A,N/A,1 portion,768,35g,86g,24g
168,Apple Strudel II,1 hr 30 mins,1 hr,2 hrs 30 mins,12,620,29g,87g,7g
169,Italian Capezzoli di Venere (Chocolate Truffles of Venus),1 hr 30 mins,N/A,2 hrs,60,99,5g,12g,1g
170,Linzer Torte Cookies,N/A,N/A,N/A,38,114,5g,17g,1g
171,Authentic Bangladeshi Beef Curry,30 mins,1 hr 45 mins,2 hrs 15 mins,6,320,23g,9g,20g
172,Butter Lamb Gravy,25 mins,35 mins,1 hr,6,321,22g,8g,23g
173,Bengali Dhal,15 mins,30 mins,45 mins,4,224,4g,34g,13g
174,Machhere Jhol (Bengali Fish Curry),10 mins,20 mins,30 mins,4,367,18g,6g,45g
175,Egg and Potato Curry,25 mins,30 mins,55 mins,2,671,39g,56g,27g
176,Prawn Malai Curry,20 mins,20 mins,40 mins,4,343,21g,14g,25g
177,Gulab Jamun or Kala Jam (Waffle Balls),10 mins,17 mins,1 hr 17 mins,12,187,5g,36g,1g
178,Spicy Crab Curry - Bangla Style,25 mins,30 mins,1 hr 55 mins,4,247,6g,31g,19g
179,Spicy Potato Noodles (Bataka Sev),45 mins,40 mins,1 hr 25 mins,8,336,18g,35g,9g
