recipe_id,Title,Cuisine,prep_time,cook_time,total_time,servings,calories,fat,carbs,protein
103,Hawaiian Chicken Pineapple Kabobs,Australian and New Zealander,10 mins,15 mins,1 hr 25 mins,8,203.0,4g,17g,24g
104,Dad's New Zealand Mince Stew,Australian and New Zealander,45 mins,3 hrs,3 hrs 45 mins,8,474.0,32g,25g,22g
105,Coconut (Haupia) and Chocolate Pie,Australian and New Zealander,20 mins,25 mins,1 hr 45 mins,8,654.0,43g,70g,5g
106,Hawaiian Banana Nut Bread,Australian and New Zealander,10 mins,1 hr,1 hr 20 mins,30,234.0,11g,32g,3g
107,Malasadas,Australian and New Zealander,,,,84,89.0,3g,13g,2g
108,Date Loaf Cake,Australian and New Zealander,25 mins,45 mins,1 hr 10 mins,12,204.0,4g,41g,2g
109,Fairy Bread,Australian and New Zealander,10 mins,,10 mins,8,146.0,8g,17g,2g
110,Crunchies,Australian and New Zealander,,,,30,122.0,7g,15g,1g
111,Mango Chutney,Australian and New Zealander,10 mins,1 hr 30 mins,1 hr 40 mins,240,46.0,0g,12g,0g
112,Hawaiian Wedding Cake,Australian and New Zealander,20 mins,40 mins,1 hr,14,390.0,18g,57g,4g
113,Hawaiian Millionaire Pie,Australian and New Zealander,15 mins,,1 hr 15 mins,8,519.0,30g,60g,8g
114,3-Ingredient Lemon Scones,Australian and New Zealander,10 mins,10 mins,20 mins,12,190.0,8g,26g,4g
115,Best Ever New Zealand Pavlova,Australian and New Zealander,10 mins,45 mins,55 mins,12,88.0,,22g,1g
116,Tropical Hawaiian Wedding Cake,Australian and New Zealander,10 mins,35 mins,45 mins,12,297.0,9g,52g,5g
117,Easy Haupia,Australian and New Zealander,5 mins,10 mins,2 hrs 15 mins,24,52.0,4g,4g,0g
118,Butter Mochi Cupcakes,Australian and New Zealander,10 mins,35 mins,1 hr 5 mins,12,208.0,10g,28g,4g
119,Chocolate Pavlova,Australian and New Zealander,20 mins,1 hr 30 mins,2 hrs 50 mins,8,402.0,21g,52g,5g
120,Hawaiian Apple-Pineapple Crumble,Australian and New Zealander,,,,6,416.0,5g,93g,3g
121,Maui Banana Cream Tube Cake,Australian and New Zealander,20 mins,50 mins,2 hrs 10 mins,12,300.0,11g,46g,5g
122,Chef John's Rocky Road,Australian and New Zealander,20 mins,10 mins,3 hrs,16,181.0,12g,18g,4g
123,Pani PoPo,Australian and New Zealander,5 mins,20 mins,1 hr,12,221.0,9g,33g,4g
124,Diana's Hawaiian Bread Rolls,Australian and New Zealander,20 mins,15 mins,3 hrs,12,64.0,3g,9g,1g
125,Hawaiian Bread I,Australian and New Zealander,10 mins,3 hrs,3 hrs 10 mins,15,169.0,4g,29g,4g
126,Toaster Biscuits,Australian and New Zealander,15 mins,20 mins,1 hr 20 mins,10,196.0,4g,34g,6g
127,Almond Cookies (Dim Sum Variety),Australian and New Zealander,20 mins,15 mins,35 mins,24,173.0,11g,18g,2g
128,Hawaiian Tarts,Australian and New Zealander,,,,36,131.0,6g,18g,1g
129,Best Apple Crumble,Australian and New Zealander,30 mins,1 hr 15 mins,1 hr 45 mins,8,660.0,31g,92g,7g
130,Anzac Biscuits,Australian and New Zealander,15 mins,15 mins,30 mins,22,90.0,5g,11g,1g
131,Easy New Zealand Squares,Australian and New Zealander,20 mins,30 mins,50 mins,9,280.0,13g,42g,3g
132,Pineapple Upside-Down Cake II,Australian and New Zealander,,,,8,486.0,25g,62g,5g
133,Taro Rolls,Australian and New Zealander,15 mins,20 mins,1 hr,18,210.0,6g,36g,4g
134,Australian English Trifle,Australian and New Zealander,15 mins,5 mins,45 mins,10,157.0,1g,36g,3g
135,Rose Pavlova Cakes,Australian and New Zealander,25 mins,1 hr 15 mins,2 hrs 30 mins,18,81.0,5g,8g,1g
136,Haupia and Purple Sweet Potato Pie,Australian and New Zealander,20 mins,53 mins,5 hrs 13 mins,16,405.0,28g,37g,4g
137,Hawaiian Cake,Australian and New Zealander,,,,14,566.0,33g,66g,6g
139,Victor's Non-Dairy Hawaiian Coconut Mochi Cake,Australian and New Zealander,10 mins,1 hr,1 hr 10 mins,12,518.0,18g,86g,6g
